Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat,Season
Andros Townsend,THFC,eng,29,"AM(LR),FW",181,77,0(3),64,-,-,-,-,1.7,82.1,-,-,0.7,-,0.3,-,0.7,0.7,-,-,0.7,1.3,-,-,-,0.3,9.3,-,0.3,-,6.60,2015_2016
Son Heung-Min,THFC,kr,28,"M(CLR),FW",183,78,13(15),1107,4,1,-,-,1.4,79.6,0.3,-,1,0.4,0.4,-,0.3,0.7,-,-,0.6,0.6,0.4,0.3,1.9,0.8,16,-,0.1,-,6.53,2015_2016
Nacer Chadli,THFC,be,31,M(CLR),187,80,10(19),938,3,2,1,-,0.9,82.5,0.6,-,0.4,0.3,0.6,-,0.6,0.2,0.1,-,0.8,0.2,0.2,0.1,0.7,0.8,13,0.1,0.4,-,6.39,2015_2016
Ryan Mason,THFC,eng,29,DMC,175,68,8(14),801,1,-,3,-,0.9,86.3,0.5,-,1.1,0.4,0.4,-,0.4,0.7,0.1,-,0.5,0.3,0.5,-,0.4,0.6,23.9,0.1,1.6,-,6.39,2015_2016
Tom Carroll,THFC,eng,28,M(CL),177,71,4(15),506,1,-,3,-,0.3,84.3,0.2,-,0.8,0.7,0.4,-,0.2,0.5,0.1,-,0.5,0.1,0.2,-,0.4,0.7,17.8,0.2,1.1,-,6.32,2015_2016
Clinton N'Jie,THFC,cm,27,"AM(LR),FW",175,68,0(8),185,-,1,-,-,0.8,63.9,0.3,-,0.9,-,0.5,-,-,0.4,0.1,-,0.3,0.8,0.1,0.3,0.9,0.9,9,0.1,0.1,-,6.31,2015_2016
Nabil Bentaleb,THFC,dz,25,M(C),187,78,2(3),168,-,-,1,-,0.6,79.4,1,-,0.4,0.4,0.6,-,0.2,0.2,0.4,-,0.4,0.2,-,-,0.4,0.2,19.4,-,0.4,-,6.27,2015_2016
Michel Vorm,THFC,nl,37,GK,183,84,1,90,-,-,-,-,-,93.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,8,-,6.18,2015_2016
Josh Onomah,THFC,eng,23,M(CL),185,70,0(8),78,-,-,-,-,0.4,72.7,-,-,0.5,0.1,0.1,-,-,-,-,-,0.1,0.1,-,-,0.3,0.1,5.5,-,-,-,6.12,2015_2016
Alex Pritchard,THFC,eng,27,AM(CLR),171,62,0(1),5,-,-,-,-,-,100,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,6.03,2015_2016
Sadio Mané,LFC,sn,28,"AM(CLR),FW",175,69,31(4),2756,18,7,3,-,2.2,81.6,1.2,7,1.3,0.4,1.3,-,0.2,0.8,-,-,1.7,2,1.5,0.4,1.6,2.9,31.5,0.3,1,0.1,7.45,2019_2020
Mohamed Salah,LFC,eg,28,"AM(CLR),FW",175,71,33(1),2888,19,10,1,-,3.9,76.5,0.4,6,0.5,0.2,0.5,-,0.1,0.5,-,-,1.8,1.5,0.5,0.6,2,2.6,28.8,0.3,0.4,0.1,7.40,2019_2020
Virgil van Dijk,LFC,nl,29,D(C),193,92,38,3420,5,1,1,-,0.8,89.1,5,5,0.6,1.1,0.4,1,4.3,0.2,0.4,-,0.2,0.1,0.7,-,0.1,0.1,85.8,-,5.4,0.1,7.32,2019_2020
Joel Matip,LFC,cm,29,D(C),195,90,8(1),704,1,-,-,-,0.4,84.3,5.2,-,1.4,1.3,0.8,1,4.1,0.8,0.4,-,0.1,0.2,0.7,-,0.2,0.3,61.4,-,2.9,-,7.29,2019_2020
Trent Alexander-Arnold,LFC,eng,22,"D(R),M(R)",175,69,35(3),3176,4,13,5,-,1.2,76.7,0.4,4,1.4,1.2,0.6,0.5,1.8,1.1,0.2,-,2.3,0.6,0.2,0.1,0.3,1.2,64.2,2.1,5.1,-,7.20,2019_2020
Jordan Henderson,LFC,eng,30,M(CLR),182,67,26(4),2244,4,5,2,-,0.7,84.5,0.9,1,2.1,1,1,0.1,0.6,1.1,0.1,-,0.9,0.6,0.4,-,0.2,0.8,61.9,0.3,4.2,0.1,7.15,2019_2020
Roberto Firmino,LFC,br,29,"M(CLR),FW",181,76,34(4),3003,9,8,-,-,2.6,79.6,0.7,2,1,0.2,0.8,0.1,0.3,0.9,0.1,-,1.4,1.4,0.4,0.2,1,2.4,30.6,0.1,0.7,-,7.14,2019_2020
Andrew Robertson,LFC,sct,26,"D(L),M(L)",178,64,34(2),3114,2,12,2,-,0.6,83.7,0.9,2,1.5,1.1,0.5,0.5,1.6,0.9,0.2,-,1.7,0.6,0.4,0.1,0.3,1.4,69.2,1.1,2.3,-,7.11,2019_2020
Dejan Lovren,LFC,hr,31,D(C),188,84,9(1),777,-,1,1,-,0.5,83.2,4.9,-,1.3,1,0.4,1.7,4.1,0.5,0.6,-,0.1,0.1,0.8,-,-,0.1,68,-,2.8,0.1,7.09,2019_2020
Naby Keita,LFC,gn,25,M(C),172,64,9(9),814,2,3,1,-,0.7,88.8,0.5,2,1.7,0.6,0.5,-,0.1,0.8,-,-,0.8,1.3,0.6,0.1,0.5,0.8,37.7,-,0.8,0.2,6.94,2019_2020
Fabinho,LFC,br,27,"D(CR),DMC",188,78,22(6),2075,2,3,6,-,0.4,87,1.5,1,2.2,1.2,1.1,-,0.6,1.5,0.1,-,0.7,0.3,0.7,-,0.3,0.5,56.4,0.1,2.9,-,6.89,2019_2020
Georginio Wijnaldum,LFC,nl,29,M(CLR),175,69,35(2),2948,4,-,-,-,1,90.8,0.8,-,1,0.5,0.4,0.1,0.9,0.8,0.1,-,0.5,1.1,0.9,-,0.8,1.2,43.9,-,1.1,-,6.81,2019_2020
Joe Gomez,LFC,eng,23,D(CLR),188,77,22(6),2000,-,-,7,-,-,88,2.5,-,0.8,1.4,0.8,0.6,2.1,0.4,0.3,-,0.2,0.3,0.5,-,0.1,0.5,71,0.1,3.7,-,6.78,2019_2020
Neco Williams,LFC,wls,19,D(R),0,0,3(3),231,-,-,1,-,1.2,80.8,1,-,0.8,1.5,0.8,0.5,0.5,0.2,0.2,-,0.3,1,0.3,-,0.2,0.8,27.8,0.7,1.8,0.2,6.64,2019_2020
Alex Oxlade Chamberlain,LFC,eng,27,M(CLR),180,70,17(13),1493,4,1,1,-,1.3,83.2,0.5,1,0.6,0.7,0.6,-,0.3,0.5,-,1,0.6,1,0.5,0.1,0.8,1.5,23.4,0.2,1.4,-,6.63,2019_2020
Alisson,LFC,br,28,GK,191,91,29,2545,-,1,-,1,-,84.6,0.2,1,-,-,-,-,0.8,0.1,-,-,-,-,-,-,-,-,27.8,-,4,-,6.62,2019_2020
James Milner,LFC,eng,34,"D(LR),M(CLR)",175,70,9(13),927,2,2,4,-,0.5,87,0.6,-,0.7,0.3,0.5,0.2,0.7,0.9,0.1,-,0.5,0.5,0.5,-,0.3,0.4,34,0.1,2.2,0.1,6.56,2019_2020
Curtis Jones,LFC,eng,19,M(C),185,75,1(5),122,1,-,-,-,1,87,0.3,-,0.7,0.3,0.5,-,-,0.2,-,-,-,0.5,-,-,0.7,0.3,20.5,-,0.5,-,6.47,2019_2020
Divock Origi,LFC,be,25,"AM(LR),FW",185,75,7(21),706,4,1,1,-,0.5,70.9,0.6,-,0.4,0.1,0.4,-,0.2,0.2,-,-,0.3,0.4,0.6,-,0.4,1,7,0.1,0.2,-,6.42,2019_2020
Xherdan Shaqiri,LFC,ch,29,M(CLR),169,72,2(5),182,1,-,-,-,0.6,83.5,0.4,-,0.1,-,0.1,-,-,0.1,-,-,0.4,0.3,0.4,0.1,0.9,0.3,13.9,0.4,1.1,-,6.34,2019_2020
Adam Lallana,LFC,eng,32,AM(CLR),172,73,3(12),374,1,1,1,-,0.3,85.7,0.3,-,1.3,0.3,0.5,0.1,0.1,1,-,-,0.3,0.1,0.5,0.1,0.3,0.9,17.7,-,0.3,-,6.34,2019_2020
Adrián,LFC,es,33,GK,190,80,9(2),873,-,-,1,-,-,71.9,0.4,-,0.1,-,-,-,1.1,-,-,-,-,-,0.1,-,-,-,23.6,-,4.5,-,6.33,2019_2020
Takumi Minamino,LFC,jp,25,"AM(C),FW",174,68,2(8),243,-,-,-,-,0.8,89.6,0.3,-,0.3,-,0.7,-,0.3,0.8,-,-,0.1,0.4,0.3,-,0.5,1,10.6,0.1,0.2,-,6.18,2019_2020
Harvey Elliott,LFC,eng,17,AM(R),170,0,0(2),7,-,-,-,-,-,90.9,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,5.5,-,0.5,-,6.10,2019_2020
Mohamed Salah,LFC,eg,28,"AM(CLR),FW",175,71,37(1),3262,22,8,1,-,3.6,75.9,0.3,8,0.6,0.1,0.7,-,0.1,0.3,-,-,1.8,2.1,0.8,0.7,3.1,2.9,28.4,0.4,0.6,0.3,7.57,2018_2019
Virgil van Dijk,LFC,nl,29,D(C),193,92,38,3385,4,2,1,-,0.8,89.7,4.8,4,1,1.1,0.3,1.1,5.2,-,0.5,-,0.2,0.2,0.6,-,-,0.2,79.9,-,5.3,-,7.44,2018_2019
Sadio Mané,LFC,sn,28,"AM(CLR),FW",175,69,35(1),3086,22,1,2,-,2.4,78.2,1,6,1,0.4,0.9,0.1,0.2,0.8,0.1,-,1.3,1.4,1.8,0.7,1.3,2.9,32.9,0.2,1.3,0.1,7.43,2018_2019
Trent Alexander-Arnold,LFC,eng,22,"D(R),M(R)",175,69,27(2),2467,1,12,3,-,1,77.5,0.3,1,2.1,1.2,0.5,0.3,2.1,1.1,0.1,-,1.7,0.5,0.2,0.1,0.5,1.4,58.5,2,4,0.1,7.36,2018_2019
Roberto Firmino,LFC,br,29,"M(CLR),FW",181,76,31(3),2620,12,6,-,-,2.2,80.8,0.9,4,0.9,0.2,1.1,-,0.4,0.8,-,-,1.3,1.4,0.3,0.2,1.8,2.3,37.6,0.1,0.5,0.1,7.20,2018_2019
Andrew Robertson,LFC,sct,26,"D(L),M(L)",178,64,36,3219,-,11,4,-,0.4,83.2,0.7,1,2.2,0.8,0.5,0.5,1.3,0.9,0.2,-,1.4,0.8,0.4,-,0.6,0.9,66.6,0.6,2.2,-,7.12,2018_2019
Joel Matip,LFC,cm,29,D(C),195,90,17(5),1535,1,-,3,-,0.4,86.9,3,2,1.8,1.5,0.5,0.8,3.5,0.5,0.3,-,0.1,0.3,0.8,-,-,0.3,61,-,2.1,-,7.11,2018_2019
Dejan Lovren,LFC,hr,31,D(C),188,84,11(2),986,1,-,1,-,0.5,86.6,4.1,1,1.2,0.8,0.2,1.2,3.9,0.6,0.5,-,0.1,-,0.8,-,0.1,0.2,63.2,0.2,2.6,0.1,7.08,2018_2019
Fabinho,LFC,br,27,"D(CR),DMC",188,78,21(7),2013,1,2,6,-,0.6,85.3,2,-,2.1,1,1,0.2,0.9,1.3,0.2,-,0.6,0.4,1.1,-,0.6,0.4,57.5,0.1,2.6,-,6.95,2018_2019
James Milner,LFC,eng,34,"D(LR),M(CLR)",175,70,19(12),1787,5,4,5,1,0.8,84.6,0.6,1,1.4,0.6,0.9,0.2,0.7,0.8,0.2,-,1.4,0.5,0.9,-,0.3,1,45.2,1.2,2.6,0.1,6.91,2018_2019
Georginio Wijnaldum,LFC,nl,29,M(CLR),175,69,32(3),2736,3,-,3,-,0.9,91.1,0.9,1,1.2,0.6,0.5,-,0.7,0.4,0.2,-,0.7,0.8,0.9,0.1,1.1,1.5,50.5,0.1,1.6,-,6.89,2018_2019
Alisson,LFC,br,28,GK,191,91,38,3420,-,-,1,-,-,80.3,0.3,-,0.1,-,-,-,0.8,-,-,-,-,0.1,-,-,-,-,28.3,-,4.8,-,6.79,2018_2019
Joe Gomez,LFC,eng,23,D(CLR),188,77,12(4),1060,-,-,2,-,0.3,87.5,1.5,-,1.1,0.9,0.8,0.4,2.4,0.4,0.3,-,0.4,0.3,0.6,-,0.1,0.6,49.2,0.1,2,-,6.76,2018_2019
Naby Keita,LFC,gn,25,M(C),172,64,16(9),1394,2,1,-,-,1.1,88.5,0.4,-,1.5,0.5,1,-,0.5,1.1,0.2,-,0.4,1,0.6,-,1.2,1.4,40.2,-,0.6,0.1,6.74,2018_2019
Xherdan Shaqiri,LFC,ch,29,M(CLR),169,72,11(13),1059,6,3,2,-,1.1,81.2,0.1,1,0.6,0.3,0.4,-,0.3,0.4,-,-,0.8,0.3,0.6,0.1,0.8,1,26.6,0.5,1.5,0.2,6.71,2018_2019
Jordan Henderson,LFC,eng,30,M(CLR),182,67,21(11),1983,1,3,1,1,0.5,87.2,0.8,-,1.4,0.9,0.8,-,0.4,0.7,0.1,-,0.5,0.2,0.4,-,0.3,0.7,54.4,0.2,3.3,0.1,6.67,2018_2019
Alberto Moreno,LFC,es,28,"D(L),M(L)",171,65,2,155,-,-,-,-,0.5,87.6,-,-,1.5,1,0.5,1,-,1,-,-,1.5,1,0.5,-,-,1.5,52.5,0.5,1,-,6.65,2018_2019
Divock Origi,LFC,be,25,"AM(LR),FW",185,75,4(8),368,3,1,-,-,1.1,70.4,0.3,-,0.5,-,0.2,0.1,0.1,0.3,-,-,0.3,0.5,0.4,0.3,0.8,0.8,9,-,0.5,-,6.57,2018_2019
Adam Lallana,LFC,eng,32,AM(CLR),172,73,5(8),465,-,-,1,-,0.4,82.1,0.7,-,1.2,0.4,0.3,-,0.1,0.5,0.1,-,0.7,0.6,0.8,-,0.8,0.8,23.2,0.2,0.4,-,6.53,2018_2019
Daniel Sturridge,LFC,eng,31,"M(R),FW",188,76,4(14),500,2,1,1,-,1,80,0.2,-,0.2,0.1,0.3,-,-,0.1,-,-,0.4,0.3,0.6,0.2,0.6,0.9,10.6,0.1,0.5,0.1,6.41,2018_2019
Alex Oxlade Chamberlain,LFC,eng,27,M(CLR),180,70,0(2),19,-,-,-,-,0.5,76.9,-,-,0.5,0.5,-,-,-,-,-,-,0.5,0.5,0.5,-,-,0.5,6.5,-,-,-,6.35,2018_2019
Nathaniel Clyne,LFC,eng,29,"D(LR),M(R)",175,67,1(3),108,-,-,-,-,0.8,83.1,0.3,-,1,0.5,-,-,0.3,0.5,-,-,-,-,0.5,-,0.3,0.3,14.8,-,0.3,-,6.29,2018_2019
Rafael Camacho,LFC,pt,20,M(R),175,68,0(1),1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00,2018_2019
Philippe Coutinho,LFC,br,28,M(CLR),172,68,13(1),1116,7,6,-,-,3.9,78.8,0.1,6,1.2,0.7,0.4,-,0.1,1.3,-,-,2.9,2.8,1.5,0.3,1.9,1.4,49.3,1.4,2.7,0.4,8.03,2017_2018
Mohamed Salah,LFC,eg,28,"AM(CLR),FW",175,71,34(2),2922,32,10,1,-,4,76.7,0.4,8,0.3,0.1,0.4,-,0.1,0.6,-,-,1.7,2.2,0.8,0.5,2.6,2.9,26.3,0.8,0.5,0.1,7.69,2017_2018
Roberto Firmino,LFC,br,29,"M(CLR),FW",181,76,32(5),2778,15,7,1,-,2.3,72.6,1.2,3,1.8,0.5,1.5,0.1,0.2,1.4,0.1,-,1.5,1.3,0.5,0.4,1.9,2.2,31.6,0.1,0.4,0.2,7.39,2017_2018
Virgil van Dijk,LFC,nl,29,D(C),193,92,14,1260,-,-,1,-,1.1,89.8,5.6,1,1.1,1.3,0.6,0.5,5.6,0.1,0.1,-,0.4,-,0.8,-,0.1,0.1,81.2,-,5,0.1,7.35,2017_2018
Emre Can,LFC,de,26,"D(CLR),DMC",186,86,24(2),2094,3,4,8,-,1,85.5,1.8,2,2.6,1.1,1,-,1.2,1,0.2,-,1,0.9,1,-,0.6,1.2,59.3,0.2,2.9,0.2,7.28,2017_2018
Sadio Mané,LFC,sn,28,"AM(CLR),FW",175,69,28(1),2207,10,7,3,1,2.4,80.4,0.9,1,1,0.3,0.8,0.1,0.2,0.7,-,-,1.7,1.9,1.7,0.4,1.7,2.4,33.2,0.2,0.8,0.2,7.27,2017_2018
Joe Gomez,LFC,eng,23,D(CLR),188,77,21(2),1901,-,2,3,-,0.2,84.5,1.4,-,2.5,1.5,0.7,0.2,2.1,0.8,0.3,-,0.7,1,0.4,-,0.6,0.7,58.1,0.4,2.1,-,7.11,2017_2018
Andrew Robertson,LFC,sct,26,"D(L),M(L)",178,64,22,1943,1,5,2,-,0.5,87.1,0.7,1,1.4,1.2,0.7,0.1,2.2,0.6,0.1,-,1.1,0.4,0.2,0.2,0.5,1,64.6,0.5,1.9,-,7.02,2017_2018
Trent Alexander-Arnold,LFC,eng,22,"D(R),M(R)",175,69,18(1),1576,1,1,3,-,0.6,77.3,0.3,-,1.9,1.5,0.6,0.4,2.1,0.7,0.3,-,1.3,1.1,0.1,0.2,0.7,0.9,53,0.9,3.9,0.1,7.02,2017_2018
Dejan Lovren,LFC,hr,31,D(C),188,84,24(5),2125,2,1,4,-,0.5,88.5,3.6,2,0.9,1.3,0.5,0.9,4.9,0.3,0.5,-,0.2,-,0.2,-,-,0.2,62.2,0.1,3.1,-,6.99,2017_2018
Jordan Henderson,LFC,eng,30,M(CLR),182,67,25(2),2173,1,1,1,-,0.6,84.4,1,-,1.9,1.1,1,-,0.7,1.3,0.1,-,0.9,0.3,0.5,-,0.4,0.6,77.2,0.2,5.6,0.1,6.95,2017_2018
Joel Matip,LFC,cm,29,D(C),195,90,22(3),1995,1,-,3,-,0.4,88.7,2.3,-,1.4,1.4,0.8,0.8,3.8,0.5,0.6,-,0.2,0.1,0.4,-,0.2,0.4,66.2,-,3.6,-,6.92,2017_2018
Alex Oxlade Chamberlain,LFC,eng,27,M(CLR),180,70,14(18),1485,3,7,3,-,1.2,81.9,0.3,1,1,0.6,0.5,-,0.2,0.5,-,-,1.1,1.3,0.3,0.1,0.8,1.2,22.3,0.5,1.6,0.2,6.88,2017_2018
Ragnar Klavan,LFC,ee,35,D(C),187,85,16(3),1449,1,-,-,-,0.1,90.7,2.1,-,0.7,0.8,0.4,0.5,4.3,0.3,0.3,-,0.2,0.2,0.6,-,0.1,0.4,63.1,-,2.7,0.1,6.81,2017_2018
Alberto Moreno,LFC,es,28,"D(L),M(L)",171,65,14(2),1264,-,-,1,-,0.8,84.3,0.6,-,2.2,0.8,0.5,0.3,2.4,1,0.1,-,0.9,0.4,1.2,-,0.3,0.4,48.9,0.6,2.2,0.1,6.80,2017_2018
Georginio Wijnaldum,LFC,nl,29,M(CLR),175,69,27(6),2387,1,2,1,-,1.2,89.9,0.5,-,1,0.8,0.4,0.1,0.6,0.4,0.1,-,0.7,1.3,0.5,0.1,1.1,1,38.4,-,1.4,-,6.79,2017_2018
James Milner,LFC,eng,34,"D(LR),M(CLR)",175,70,16(16),1764,-,3,3,-,0.7,86.4,0.7,1,1.8,0.7,0.9,0.1,0.7,0.8,0.2,-,1.1,0.4,0.7,-,0.7,0.7,46.3,0.9,2.7,0.1,6.78,2017_2018
Daniel Sturridge,LFC,eng,31,"M(R),FW",188,76,5(4),431,2,1,-,-,2.3,80.3,0.2,-,-,-,0.1,-,0.1,0.1,-,-,1.4,1.1,1,0.2,1.2,1.3,14.1,0.1,0.3,-,6.76,2017_2018
Loris Karius,LFC,de,27,GK,189,87,19,1710,-,-,1,-,-,67.2,0.4,-,-,0.1,0.1,-,0.8,-,-,-,-,-,0.2,-,0.1,-,27.4,-,4.1,-,6.70,2017_2018
Simon Mignolet,LFC,be,32,GK,193,87,19,1710,-,-,3,-,-,69.5,0.2,-,0.1,-,0.1,-,0.7,0.1,-,-,-,0.1,0.1,-,-,-,26.2,-,4.3,-,6.49,2017_2018
Dominic Solanke,LFC,eng,23,FW,187,80,5(16),583,1,1,-,-,1,75.1,1,-,0.3,0.1,0.6,-,0.3,0.1,-,-,0.7,0.4,0.1,-,0.8,1.6,9.4,-,0.1,0.1,6.40,2017_2018
Danny Ings,LFC,eng,28,"AM(C),FW",178,73,3(5),265,1,-,-,-,1,61.8,0.5,-,0.6,0.3,0.8,-,0.1,-,-,-,0.4,0.1,0.4,0.4,0.8,1.4,9.5,-,0.1,-,6.33,2017_2018
Nathaniel Clyne,LFC,eng,29,"D(LR),M(R)",175,67,2(1),174,-,-,1,-,0.7,79.8,1,-,1,-,1.3,0.3,1,0.3,0.3,-,0.3,-,-,-,0.7,1.3,34.7,0.3,1.7,-,6.27,2017_2018
Adam Lallana,LFC,eng,32,AM(CLR),172,73,1(11),235,-,-,1,-,0.9,85.9,0.3,-,0.3,0.1,0.3,-,0.1,0.7,-,-,0.6,0.5,0.4,0.1,0.8,0.8,18.3,0.2,0.3,-,6.22,2017_2018
Ben Woodburn,LFC,wls,21,AM(C),174,72,0(1),6,-,-,-,-,-,87.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6.14,2017_2018
Marko Grujic,LFC,rs,24,DMC,191,86,0(3),14,-,-,-,-,-,78.6,-,-,0.7,-,-,-,-,-,-,-,0.3,-,-,-,0.3,-,4.7,-,-,-,6.12,2017_2018
Divock Origi,LFC,be,25,"AM(LR),FW",185,75,0(1),9,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,5.80,2017_2018
Philippe Coutinho,LFC,br,28,M(CLR),172,68,28(3),2245,13,7,2,-,3.4,83.9,0.2,8,1.1,0.6,0.6,-,0.2,1.5,-,-,2.1,2.3,1.2,0.1,1.8,1.8,45.2,1.2,2.3,0.2,7.56,2016_2017
Roberto Firmino,LFC,br,29,"M(CLR),FW",181,76,34(1),3069,11,7,5,-,2.9,79.4,1.8,5,1.7,0.7,1.5,-,0.4,1.5,0.1,-,2.2,2,0.9,0.5,2.3,2.3,44.1,0.3,0.9,0.1,7.54,2016_2017
Sadio Mané,LFC,sn,28,"AM(CLR),FW",175,69,26(1),2248,13,5,4,-,2.1,77.5,1.6,2,0.9,0.3,1.2,-,0.4,0.7,-,-,1.6,2.5,2,0.5,2.7,2.2,37.8,0.3,0.9,-,7.51,2016_2017
Jordan Henderson,LFC,eng,30,M(CLR),182,67,24,2118,1,4,8,-,0.7,85.9,1.1,2,3.7,1.7,1.2,-,1.7,1.6,0.1,-,1.3,0.2,0.7,-,0.5,0.4,85.7,0.7,6.9,0.1,7.30,2016_2017
James Milner,LFC,eng,34,"D(LR),M(CLR)",175,70,36,3160,7,3,5,-,1,79.7,1.6,2,2.6,1.2,1.1,0.3,2.8,1.4,0.1,-,1.6,0.9,0.6,0.1,0.6,0.9,60.2,1.5,3.6,0.1,7.26,2016_2017
Dejan Lovren,LFC,hr,31,D(C),188,84,29,2555,2,1,6,-,0.5,86.6,3.6,-,1.4,1.6,0.9,1.1,6.3,0.6,0.6,-,0.3,-,0.7,-,0.1,0.2,69,-,4.8,-,7.13,2016_2017
Joel Matip,LFC,cm,29,D(C),195,90,27(2),2456,1,-,3,-,0.9,87.2,2.2,-,1.6,1.6,0.5,0.9,5.3,0.2,0.4,-,0.3,0.3,0.4,-,0.1,0.2,58.6,-,3.2,-,7.11,2016_2017
Adam Lallana,LFC,eng,32,AM(CLR),172,73,27(4),2350,8,7,3,-,1.6,84.3,0.7,1,1.6,0.6,0.5,-,0.7,1.3,0.1,-,1.4,1.1,1,0.4,1.7,1.6,45.4,0.3,0.9,0.1,7.10,2016_2017
Emre Can,LFC,de,26,"D(CLR),DMC",186,86,26(6),2368,5,2,6,-,1.4,81.6,2.1,3,2.1,1,2.2,-,1.6,1,0.1,-,1,0.7,0.9,0.1,0.8,1,51.8,0.1,3.3,0.1,7.05,2016_2017
Georginio Wijnaldum,LFC,nl,29,M(CLR),175,69,33(3),2978,6,9,2,-,1.7,87.3,1.1,-,1.3,0.7,0.6,-,0.9,0.9,0.1,-,1.2,0.8,0.8,0.1,1.5,1.3,45.1,0.1,1.6,0.1,6.95,2016_2017
Nathaniel Clyne,LFC,eng,29,"D(LR),M(R)",175,67,37,3324,-,2,-,-,0.7,83.3,0.4,-,2.2,1.2,0.4,0.4,1.5,0.6,0.1,-,1.2,0.6,0.5,-,0.5,0.7,48.5,0.5,1.2,-,6.80,2016_2017
Simon Mignolet,LFC,be,32,GK,193,87,28,2520,-,-,-,-,-,61.5,0.7,-,-,-,-,-,1,-,-,-,-,0.1,0.2,-,-,-,28.8,-,5.3,-,6.72,2016_2017
Lucas Leiva,LFC,br,33,"D(C),M(C)",179,74,12(12),1105,-,3,4,-,0.3,83.9,2.2,-,1.5,1.5,0.8,0.1,2.5,0.8,0.2,-,0.3,0.1,0.5,-,0.3,0.3,36.8,0.1,2.5,-,6.68,2016_2017
Ragnar Klavan,LFC,ee,35,D(C),187,85,15(5),1408,-,-,3,-,0.2,88.4,1.9,-,1.3,0.7,0.8,0.8,4.6,0.4,0.5,-,0.2,0.3,0.4,-,0.1,0.2,46.9,0.1,2.5,0.1,6.68,2016_2017
Daniel Sturridge,LFC,eng,31,"M(R),FW",188,76,7(13),769,3,1,1,-,2,74.4,0.2,-,-,0.1,0.3,-,-,0.1,0.1,-,0.7,0.9,0.4,0.4,0.9,1.2,13.9,0.1,0.7,0.1,6.67,2016_2017
Divock Origi,LFC,be,25,"AM(LR),FW",185,75,14(20),1460,7,3,-,-,1.1,76.2,0.9,-,0.3,0.1,0.6,-,0.1,0.1,0.1,-,0.5,0.6,0.9,0.4,1.2,2.2,11.5,0.1,0.4,-,6.50,2016_2017
Loris Karius,LFC,de,27,GK,189,87,10,900,-,-,-,-,-,64.9,0.1,-,-,0.1,-,-,0.7,-,-,-,-,-,0.1,-,-,-,26.8,-,4.7,-,6.34,2016_2017
Alberto Moreno,LFC,es,28,"D(L),M(L)",171,65,2(10),298,-,1,1,-,0.3,83.5,0.2,-,0.5,0.2,0.2,0.1,1.4,0.4,-,-,0.4,0.3,0.5,-,0.1,0.5,15.2,0.3,0.4,-,6.28,2016_2017
Marko Grujic,LFC,rs,24,DMC,191,86,0(5),38,-,-,1,-,0.8,78.8,1,-,0.2,-,0.4,-,-,0.2,-,-,0.2,0.4,0.4,-,-,0.4,6.6,-,-,-,6.22,2016_2017
Trent Alexander-Arnold,LFC,eng,22,"D(R),M(R)",175,69,2(5),166,-,-,-,-,0.4,64.8,-,-,0.6,0.4,0.1,-,1.6,0.6,0.1,-,0.1,0.1,0.3,-,0.3,0.7,10.1,0.1,0.4,-,6.20,2016_2017
Ben Woodburn,LFC,wls,21,AM(C),174,72,1(4),84,-,-,-,-,0.4,90.6,0.2,-,0.8,-,0.4,-,-,-,-,-,-,0.2,0.2,-,0.8,0.4,6.4,0.2,-,-,6.14,2016_2017
Kevin Stewart,LFC,eng,27,DMC,181,73,0(4),18,-,-,-,-,-,60,0.8,-,-,-,0.3,-,0.3,-,-,-,-,0.3,-,-,-,-,5,-,-,-,6.13,2016_2017
Ovie Ejaria,LFC,eng,22,M(CL),183,75,0(2),6,-,-,-,-,-,100,-,-,0.5,-,-,-,-,0.5,-,-,-,-,-,-,-,-,4,-,-,-,6.10,2016_2017
Philippe Coutinho,LFC,br,28,M(CLR),172,68,24(2),2005,8,5,2,1,4.3,78.9,0.2,4,1.3,0.7,0.4,-,0.3,1.3,-,-,1.9,1.9,1.1,0.2,2.2,2,42,0.4,2.2,0.3,7.29,2015_2016
James Milner,LFC,eng,34,"D(LR),M(CLR)",175,70,28,2416,5,11,9,1,1.4,77.4,1.1,4,2.5,1.3,1.7,-,0.8,1.9,0.1,-,2.2,0.7,1.2,0.1,2.2,1.6,49.1,2.1,2.5,0.1,7.21,2015_2016
Roberto Firmino,LFC,br,29,"M(CLR),FW",181,76,24(7),1982,10,7,1,-,2,76.6,0.3,5,2.2,0.5,0.9,-,0.4,0.9,0.1,-,1.6,1.4,0.6,0.5,2.1,1.8,32.2,0.1,0.7,0.2,7.19,2015_2016
