Name,Position,Team,Salary,Season
Leroy Sane,Forward,MCFC,"£4,680,000",2016_2017
Andy Carroll,Forward,WHUFC,"£4,680,000",2016_2017
Jan Vertonghen,Defender,THFC,"£4,628,000",2016_2017
Marouane Fellaini,Midfielder,MUFC,"£4,550,000",2016_2017
Yohan Cabaye,Midfielder,CP,"£4,472,000",2016_2017
Mamadou Sakho,Defender,CP,"£4,420,000",2016_2017
Antonio Valencia,Defender,MUFC,"£4,420,000",2016_2017
Heung-Min Son,Forward,THFC,"£4,420,000",2016_2017
Nemanja Matic,Midfielder,CFC,"£4,290,000",2016_2017
Romelu Lukaku,Forward,EFC,"£4,160,000",2016_2017
Kasper Schmeichel,Goalkeeper,LC,"£4,160,000",2016_2017
Islam Slimani,Forward,LC,"£4,160,000",2016_2017
Claudio Bravo,Goalkeeper,MCFC,"£4,160,000",2016_2017
Fabian Delph,Midfielder,MCFC,"£4,160,000",2016_2017
Eric Bailly,Defender,MUFC,"£4,160,000",2016_2017
Michael Carrick,Midfielder,MUFC,"£4,160,000",2016_2017
Manolo Gabbiadini,Forward,SFC,"£4,160,000",2016_2017
Virgil Van Dijk,Defender,SFC,"£4,160,000",2016_2017
Saido Berahino,Forward,SCFC,"£4,160,000",2016_2017
Toby Alderweireld,Defender,THFC,"£4,160,000",2016_2017
Erik Lamela,Midfielder,THFC,"£4,160,000",2016_2017
Moussa Sissoko,Midfielder,THFC,"£4,160,000",2016_2017
Andre Ayew,Forward,WHUFC,"£4,160,000",2016_2017
Mathieu Debuchy,Defender,AFC,"£3,900,000",2016_2017
Victor Moses,Defender,CFC,"£3,900,000",2016_2017
Yannick Bolasie,Forward,EFC,"£3,900,000",2016_2017
Danny Ings,Forward,LFC,"£3,900,000",2016_2017
Lucas Leiva,Midfielder,LFC,"£3,900,000",2016_2017
Georginio Wijnaldum,Midfielder,LFC,"£3,900,000",2016_2017
Gabriel Jesus,Forward,MCFC,"£3,900,000",2016_2017
Daley Blind,Defender,MUFC,"£3,900,000",2016_2017
Phil Jones,Defender,MUFC,"£3,900,000",2016_2017
Fernando Llorente,Forward,SCAFC,"£3,900,000",2016_2017
Christian Eriksen,Midfielder,THFC,"£3,900,000",2016_2017
Jose Fonte,Defender,WHUFC,"£3,900,000",2016_2017
Lucas Perez,Forward,AFC,"£3,640,000",2016_2017
Steve Mandanda,Goalkeeper,CP,"£3,640,000",2016_2017
Leighton Baines,Defender,EFC,"£3,640,000",2016_2017
Kevin Mirallas,Forward,EFC,"£3,640,000",2016_2017
Ashley Williams,Defender,EFC,"£3,640,000",2016_2017
Nathaniel Clyne,Defender,LFC,"£3,640,000",2016_2017
Chris Smalling,Defender,MUFC,"£3,640,000",2016_2017
Jonjo Shelvey,Midfielder,NUFC,"£3,640,000",2016_2017
Jermain Defoe,Forward,SUFC,"£3,640,000",2016_2017
Charlie Austin,Forward,SFC,"£3,640,000",2016_2017
Ryan Bertrand,Defender,SFC,"£3,640,000",2016_2017
Gylfi Sigurdsson,Midfielder,SCAFC,"£3,640,000",2016_2017
Kyle Walker,Defender,THFC,"£3,640,000",2016_2017
Manuel Lanzini,Midfielder,WHUFC,"£3,640,000",2016_2017
Aleksandar Kolarov,Defender,MCFC,"£3,588,000",2016_2017
Nacho Monreal,Defender,AFC,"£3,380,000",2016_2017
Alex Oxlade-Chamberlain,Midfielder,AFC,"£3,380,000",2016_2017
Ben Chilwell,Defender,LC,"£3,380,000",2016_2017
Ahmed Musa,Forward,LC,"£3,380,000",2016_2017
Dejan Lovren,Defender,LFC,"£3,380,000",2016_2017
Sergio Romero,Goalkeeper,MUFC,"£3,380,000",2016_2017
Sofiane Boufal,Midfielder,SFC,"£3,380,000",2016_2017
Oriol Romeu,Midfielder,SFC,"£3,380,000",2016_2017
Cedric Soares,Defender,SFC,"£3,380,000",2016_2017
Mame Diouf,Forward,SCFC,"£3,380,000",2016_2017
Xherdan Shaqiri,Midfielder,SCFC,"£3,380,000",2016_2017
Victor Wanyama,Midfielder,THFC,"£3,380,000",2016_2017
Troy Deeney,Forward,WAT,"£3,380,000",2016_2017
Jonny Evans,Defender,WBAFC,"£3,380,000",2016_2017
Sofiane Feghouli,Forward,WHUFC,"£3,380,000",2016_2017
Shane Long,Forward,SFC,"£3,210,000",2016_2017
Francis Coquelin,Midfielder,AFC,"£3,120,000",2016_2017
Asmir Begovic,Goalkeeper,CFC,"£3,120,000",2016_2017
Scott Dann,Defender,CP,"£3,120,000",2016_2017
Connor Wickham,Forward,CP,"£3,120,000",2016_2017
Gareth Barry,Midfielder,EFC,"£3,120,000",2016_2017
Wes Morgan,Defender,LC,"£3,120,000",2016_2017
Aleksandar Mitrovic,Forward,NUFC,"£3,120,000",2016_2017
Steven Davis,Midfielder,SFC,"£3,120,000",2016_2017
Nathan Redmond,Forward,SFC,"£3,120,000",2016_2017
Dusan Tadic,Forward,SFC,"£3,120,000",2016_2017
Eric Dier,Midfielder,THFC,"£3,120,000",2016_2017
Danny Rose,Defender,THFC,"£3,120,000",2016_2017
Nacer Chadli,Midfielder,WBAFC,"£3,120,000",2016_2017
Ben Foster,Goalkeeper,WBAFC,"£3,120,000",2016_2017
Jose Salomon Rondon,Forward,WBAFC,"£3,120,000",2016_2017
Claudio Yacob,Midfielder,WBAFC,"£3,120,000",2016_2017
Angelo Ogbonna,Defender,WHUFC,"£3,120,000",2016_2017
Winston Reid,Defender,WHUFC,"£3,120,000",2016_2017
Adam Lallana,Midfielder,LFC,"£3,042,000",2016_2017
Jeffrey Schlupp,Defender,CP,"£2,912,000",2016_2017
Luka Milivojevic,Midfielder,CP,"£2,860,000",2016_2017
Bakary Sako,Midfielder,CP,"£2,860,000",2016_2017
Andros Townsend,Forward,CP,"£2,860,000",2016_2017
Patrick Van Aanholt,Defender,CP,"£2,860,000",2016_2017
Simon Mignolet,Goalkeeper,LFC,"£2,860,000",2016_2017
Ragnar Klavan,Defender,LFC,"£2,860,000",2016_2017
Fraser Forster,Goalkeeper,SFC,"£2,860,000",2016_2017
Jay Rodriguez,Forward,SFC,"£2,860,000",2016_2017
Dele Alli,Midfielder,THFC,"£2,860,000",2016_2017
Mousa Dembele,Midfielder,THFC,"£2,860,000",2016_2017
Libor Kozak,Forward,AVFC,"£2,775,000",2016_2017
James McArthur,Midfielder,CP,"£2,600,000",2016_2017
James Tomkins,Defender,CP,"£2,600,000",2016_2017
Phil Jagielka,Defender,EFC,"£2,600,000",2016_2017
Aaron Lennon,Forward,EFC,"£2,600,000",2016_2017
James McCarthy,Midfielder,EFC,"£2,600,000",2016_2017
Christian Fuchs,Defender,LC,"£2,600,000",2016_2017
Nampalys Mendy,Midfielder,LC,"£2,600,000",2016_2017
Ron-Robert Zieler,Goalkeeper,LC,"£2,600,000",2016_2017
Kelechi Iheanacho,Forward,MCFC,"£2,600,000",2016_2017
Jordy Clasie,Midfielder,SFC,"£2,600,000",2016_2017
Pierre-Emile Hojbjerg,Midfielder,SFC,"£2,600,000",2016_2017
Joe Allen,Midfielder,SCFC,"£2,600,000",2016_2017
Marko Arnautovic,Midfielder,SCFC,"£2,600,000",2016_2017
Giannelli Imbula,Midfielder,SCFC,"£2,600,000",2016_2017
Jordan Ayew,Forward,SCAFC,"£2,600,000",2016_2017
Lukasz Fabianski,Goalkeeper,SCAFC,"£2,600,000",2016_2017
Mauro Zarate,Forward,WAT,"£2,600,000",2016_2017
Aaron Cresswell,Defender,WHUFC,"£2,600,000",2016_2017
Mark Noble,Midfielder,WHUFC,"£2,600,000",2016_2017
Pedro Obiang,Midfielder,WHUFC,"£2,600,000",2016_2017
Mohamed Elneny,Midfielder,AFC,"£2,574,000",2016_2017
Ross Barkley,Midfielder,EFC,"£2,496,000",2016_2017
Adnan Januzaj,Forward,MUFC,"£2,496,000",2016_2017
Bojan Krkic,Midfielder,SCFC,"£2,496,000",2016_2017
Jake Livermore,Midfielder,WBAFC,"£2,392,000",2016_2017
Joshua King,Forward,BOU,"£2,340,000",2016_2017
Calum Chambers,Defender,AFC,"£2,340,000",2016_2017
Carl Jenkinson,Defender,AFC,"£2,340,000",2016_2017
Idrissa Gueye,Midfielder,EFC,"£2,340,000",2016_2017
Marc Albrighton,Midfielder,LC,"£2,340,000",2016_2017
Danny Simpson,Defender,LC,"£2,340,000",2016_2017
Emre Can,Midfielder,LFC,"£2,340,000",2016_2017
Marlos Moreno,Forward,MCFC,"£2,340,000",2016_2017
Matteo Darmian,Defender,MUFC,"£2,340,000",2016_2017
Mohamed Diame,Midfielder,NUFC,"£2,340,000",2016_2017
Ayoze Perez,Forward,NUFC,"£2,340,000",2016_2017
Matt Ritchie,Midfielder,NUFC,"£2,340,000",2016_2017
Ryan Shawcross,Defender,SCFC,"£2,340,000",2016_2017
Philipp Wollscheid,Defender,SCFC,"£2,340,000",2016_2017
Gonzalez Baston,Forward,SCAFC,"£2,340,000",2016_2017
Leroy Fer,Midfielder,SCAFC,"£2,340,000",2016_2017
Federico Fazio,Defender,THFC,"£2,340,000",2016_2017
Kevin Wimmer,Defender,THFC,"£2,340,000",2016_2017
Nordin Amrabat,Forward,WAT,"£2,340,000",2016_2017
Daryl Janmaat,Defender,WAT,"£2,340,000",2016_2017
Roberto Pereyra,Midfielder,WAT,"£2,340,000",2016_2017
Chris Brunt,Midfielder,WBAFC,"£2,340,000",2016_2017
Kieran Gibbs,Defender,AFC,"£2,253,333",2016_2017
James Ward-Prowse,Midfielder,SFC,"£2,253,333",2016_2017
Federico Fernandez,Defender,SCAFC,"£2,236,000",2016_2017
Kurt Zouma,Defender,CFC,"£2,200,000",2016_2017
Valon Behrami,Midfielder,WAT,"£2,184,000",2016_2017
Ryan Bertrand,Defender,CFC,"£2,084,305",2016_2017
Artur Boruc,Goalkeeper,BOU,"£2,080,000",2016_2017
David Ospina,Goalkeeper,AFC,"£2,080,000",2016_2017
Ramiro Funes Mori,Defender,EFC,"£2,080,000",2016_2017
Arouna Kone,Forward,EFC,"£2,080,000",2016_2017
Enner Valencia,Forward,EFC,"£2,080,000",2016_2017
Andy King,Midfielder,LC,"£2,080,000",2016_2017
Alberto Moreno,Defender,LFC,"£2,080,000",2016_2017
Dwight Gayle,Forward,NUFC,"£2,080,000",2016_2017
Alex McCarthy,Goalkeeper,SFC,"£2,080,000",2016_2017
Jeremy Pied,Midfielder,SFC,"£2,080,000",2016_2017
Peter Crouch,Forward,SCFC,"£2,080,000",2016_2017
Michel Vorm,Goalkeeper,THFC,"£2,080,000",2016_2017
Mario Suarez,Midfielder,WAT,"£2,080,000",2016_2017
James Morrison,Midfielder,WBAFC,"£2,080,000",2016_2017
Matt Phillips,Midfielder,WBAFC,"£2,080,000",2016_2017
Arthur Masuaku,Defender,WHUFC,"£2,080,000",2016_2017
Robert Snodgrass,Midfielder,WHUFC,"£2,080,000",2016_2017
Jores Okore,Defender,AVFC,"£2,075,000",2016_2017
Jordon Ibe,Midfielder,BOU,"£1,976,000",2016_2017
Seamus Coleman,Defender,EFC,"£1,976,000",2016_2017
Robert Huth,Defender,LC,"£1,976,000",2016_2017
Erik Pieters,Defender,SCFC,"£1,976,000",2016_2017
Sung-Yeung Ki,Midfielder,SCAFC,"£1,872,000",2016_2017
Wayne Routledge,Midfielder,SCAFC,"£1,872,000",2016_2017
Andrew Surman,Midfielder,BOU,"£1,820,000",2016_2017
Jonathan Kodjia,Forward,AVFC,"£1,820,000",2016_2017
Lewis Dunk,Defender,BHA,"£1,820,000",2016_2017
Robbie Brady,Midfielder,BFC,"£1,820,000",2016_2017
Steven Defour,Midfielder,BFC,"£1,820,000",2016_2017
Tom Heaton,Goalkeeper,BFC,"£1,820,000",2016_2017
Jeff Hendrick,Midfielder,BFC,"£1,820,000",2016_2017
Andreas Christensen,Defender,CFC,"£1,820,000",2016_2017
Ruben Loftus-Cheek,Midfielder,CFC,"£1,820,000",2016_2017
Fraizer Campbell,Forward,CP,"£1,820,000",2016_2017
Mathieu Flamini,Midfielder,CP,"£1,820,000",2016_2017
Jason Puncheon,Midfielder,CP,"£1,820,000",2016_2017
Joel Ward,Defender,CP,"£1,820,000",2016_2017
Shinji Okazaki,Forward,LC,"£1,820,000",2016_2017
Lazar Markovic,Forward,LFC,"£1,820,000",2016_2017
Vurnon Anita,Defender,NUFC,"£1,820,000",2016_2017
Ciaran Clark,Defender,NUFC,"£1,820,000",2016_2017
Jack Colback,Midfielder,NUFC,"£1,820,000",2016_2017
Jesus Gamez,Defender,NUFC,"£1,820,000",2016_2017
Yoan Gouffran,Midfielder,NUFC,"£1,820,000",2016_2017
Chancel Mbemba,Defender,NUFC,"£1,820,000",2016_2017
Emmanuel Rivière,Forward,NUFC,"£1,820,000",2016_2017
Henri Saivet,Midfielder,NUFC,"£1,820,000",2016_2017
Matz Sels,Goalkeeper,NUFC,"£1,820,000",2016_2017
Charlie Adam,Midfielder,SCFC,"£1,820,000",2016_2017
Jack Butland,Goalkeeper,SCFC,"£1,820,000",2016_2017
Leon Britton,Midfielder,SCAFC,"£1,820,000",2016_2017
Tom Carroll,Midfielder,SCAFC,"£1,820,000",2016_2017
Jack Cork,Midfielder,SCAFC,"£1,820,000",2016_2017
Georges-Kevin N'Koudou,Midfielder,THFC,"£1,820,000",2016_2017
Kieran Trippier,Defender,THFC,"£1,820,000",2016_2017
Étienne Capoue,Midfielder,WAT,"£1,820,000",2016_2017
Younes Kaboul,Defender,WAT,"£1,820,000",2016_2017
Stefano Okaka,Forward,WAT,"£1,820,000",2016_2017
Gareth McAuley,Defender,WBAFC,"£1,820,000",2016_2017
Allan-Romeo Nyom,Defender,WBAFC,"£1,820,000",2016_2017
James Collins,Defender,WHUFC,"£1,820,000",2016_2017
Vincent Janssen,Forward,THFC,"£1,768,000",2016_2017
Stephen Ireland,Midfielder,SCFC,"£1,716,000",2016_2017
Joselu Mato,Forward,SCFC,"£1,716,000",2016_2017
Marc Muniesa,Defender,SCFC,"£1,716,000",2016_2017
Martin Olsson,Defender,SCAFC,"£1,716,000",2016_2017
Jon Flanagan,Defender,LFC,"£1,710,000",2016_2017
Marcus Rashford,Forward,MUFC,"£1,690,000",2016_2017
Helder Costa,Forward,WWFC,"£1,690,000",2016_2017
Onyinye Ndidi,Midfielder,LC,"£1,668,333",2016_2017
Nathan Dyer,Midfielder,SCAFC,"£1,664,000",2016_2017
Kyle Naughton,Defender,SCAFC,"£1,664,000",2016_2017
Angel Rangel,Defender,SCAFC,"£1,664,000",2016_2017
Nabil Bentaleb,Midfielder,THFC,"£1,664,000",2016_2017
Ashley Westwood,Midfielder,BFC,"£1,612,000",2016_2017
Phil Bardsley,Defender,SCFC,"£1,612,000",2016_2017
Lewis Cook,Midfielder,BOU,"£1,560,000",2016_2017
Adam Federici,Goalkeeper,BOU,"£1,560,000",2016_2017
Simon Francis,Defender,BOU,"£1,560,000",2016_2017
Callum Wilson,Forward,BOU,"£1,560,000",2016_2017
Joel Campbell,Forward,AFC,"£1,560,000",2016_2017
Alex Iwobi,Forward,AFC,"£1,560,000",2016_2017
Brad Guzan,Goalkeeper,AVFC,"£1,560,000",2016_2017
James Chester,Defender,AVFC,"£1,560,000",2016_2017
Shane Duffy,Defender,BHA,"£1,560,000",2016_2017
Glenn Murray,Forward,BHA,"£1,560,000",2016_2017
Bruno Saltor Grau,Defender,BHA,"£1,560,000",2016_2017
Pape Souare,Defender,CP,"£1,560,000",2016_2017
Maarten Stekelenburg,Goalkeeper,EFC,"£1,560,000",2016_2017
Aaron Mooy,Midfielder,HUD,"£1,560,000",2016_2017
Bartosz Kapustka,Midfielder,LC,"£1,560,000",2016_2017
Grant Hanley,Defender,NUFC,"£1,560,000",2016_2017
Deandre Yedlin,Defender,NUFC,"£1,560,000",2016_2017
Florin Gardos,Defender,SFC,"£1,560,000",2016_2017
Lee Grant,Goalkeeper,SCFC,"£1,560,000",2016_2017
Glen Johnson,Defender,SCFC,"£1,560,000",2016_2017
Jordi Amat,Defender,SCAFC,"£1,560,000",2016_2017
Jefferson Montero,Midfielder,SCAFC,"£1,560,000",2016_2017
Luciano Narsingh,Midfielder,SCAFC,"£1,560,000",2016_2017
Jose Holebas,Defender,WAT,"£1,560,000",2016_2017
Christian Kabasele,Defender,WAT,"£1,560,000",2016_2017
Isaac Success,Forward,WAT,"£1,560,000",2016_2017
Craig Dawson,Defender,WBAFC,"£1,560,000",2016_2017
James McClean,Midfielder,WBAFC,"£1,560,000",2016_2017
Sam Byram,Defender,WHUFC,"£1,560,000",2016_2017
Edimilson Fernandes,Midfielder,WHUFC,"£1,560,000",2016_2017
Cheikhou Kouyate,Midfielder,WHUFC,"£1,560,000",2016_2017
Havard Nordtveit,Midfielder,WHUFC,"£1,560,000",2016_2017
Diafra Sakho,Forward,WHUFC,"£1,560,000",2016_2017
Muhamed Besic,Midfielder,EFC,"£1,538,333",2016_2017
Johann Berg Gudmundsson,Midfielder,BFC,"£1,456,000",2016_2017
Ben Mee,Defender,BFC,"£1,456,000",2016_2017
Stephen Ward,Defender,BFC,"£1,456,000",2016_2017
Divock Origi,Forward,LFC,"£1,456,000",2016_2017
Paul Dummett,Defender,NUFC,"£1,456,000",2016_2017
Maya Yoshida,Defender,SFC,"£1,456,000",2016_2017
Glenn Whelan,Midfielder,SCFC,"£1,456,000",2016_2017
Callum McManaman,Forward,WBAFC,"£1,456,000",2016_2017
Marco van Ginkel,Midfielder,CFC,"£1,450,000",2016_2017
Ivan Cavaleiro,Forward,WWFC,"£1,450,000",2016_2017
Leonardo Ulloa,Forward,LC,"£1,404,000",2016_2017
Boaz Myhill,Goalkeeper,WBAFC,"£1,352,000",2016_2017
Rob Holding,Defender,AFC,"£1,300,000",2016_2017
Beram Kayal,Midfielder,BHA,"£1,300,000",2016_2017
Solly March,Midfielder,BHA,"£1,300,000",2016_2017
Ashley Barnes,Forward,BFC,"£1,300,000",2016_2017
Andre Gray,Forward,BFC,"£1,300,000",2016_2017
Robert Kenedy (on loan from ),Midfielder,CFC,"£1,300,000",2016_2017
Damien Delaney,Defender,CP,"£1,300,000",2016_2017
Martin Kelly,Defender,CP,"£1,300,000",2016_2017
Joe Ledley,Midfielder,CP,"£1,300,000",2016_2017
Chung-Yong Lee,Forward,CP,"£1,300,000",2016_2017
Julian Speroni,Goalkeeper,CP,"£1,300,000",2016_2017
Mason Holgate,Defender,EFC,"£1,300,000",2016_2017
Demarai Gray,Forward,LC,"£1,300,000",2016_2017
Matty James,Midfielder,LC,"£1,300,000",2016_2017
Loris Karius,Goalkeeper,LFC,"£1,300,000",2016_2017
Bruno Zuculini,Midfielder,MCFC,"£1,300,000",2016_2017
Karl Darlow,Goalkeeper,NUFC,"£1,300,000",2016_2017
Rob Elliot,Goalkeeper,NUFC,"£1,300,000",2016_2017
Daryl Murphy,Forward,NUFC,"£1,300,000",2016_2017
Ibrahim Afellay,Midfielder,SCFC,"£1,300,000",2016_2017
Jonathan Walters,Forward,SCFC,"£1,300,000",2016_2017
Alfie Mawson,Defender,SCAFC,"£1,300,000",2016_2017
Kristoffer Nordfeldt,Goalkeeper,SCAFC,"£1,300,000",2016_2017
Harry Winks,Midfielder,THFC,"£1,300,000",2016_2017
Miguel Britos,Defender,WAT,"£1,300,000",2016_2017
Heurelho Gomes,Goalkeeper,WAT,"£1,300,000",2016_2017
Costel Pantilimon,Goalkeeper,WAT,"£1,300,000",2016_2017
Michail Antonio,Midfielder,WHUFC,"£1,300,000",2016_2017
Aleksandar Tonev,Midfielder,AVFC,"£1,225,000",2016_2017
Scott Arfield,Midfielder,BFC,"£1,196,000",2016_2017
Tomas Kalas,Defender,CFC,"£1,196,000",2016_2017
Marcin Wasilewski,Defender,LC,"£1,196,000",2016_2017
Ramadan Sobhi,Forward,SCFC,"£1,196,000",2016_2017
Michael Keane,Defender,BFC,"£1,144,000",2016_2017
Dean Marney,Midfielder,BFC,"£1,144,000",2016_2017
James Tarkowski,Defender,BFC,"£1,144,000",2016_2017
Isaac Hayden,Midfielder,NUFC,"£1,144,000",2016_2017
Steven Berghuis,Forward,WAT,"£1,144,000",2016_2017
Romain Saiss,Midfielder,WWFC,"£1,144,000",2016_2017
Emiliano Martinez,Goalkeeper,AFC,"£1,126,667",2016_2017
Daniel Amartey,Midfielder,LC,"£1,092,000",2016_2017
Ademola Lookman,Forward,EFC,"£1,076,400",2016_2017
Nathan Ake,Defender,CFC,"£1,042,153",2016_2017
Yaya Sanogo,Forward,AFC,"£1,040,000",2016_2017
Connor Goldson,Defender,BHA,"£1,040,000",2016_2017
Tomer Hemed,Forward,BHA,"£1,040,000",2016_2017
Uwe Hunemeier,Defender,BHA,"£1,040,000",2016_2017
Jamie Murphy,Forward,BHA,"£1,040,000",2016_2017
Liam Rosenior,Defender,BHA,"£1,040,000",2016_2017
Jiri Skalak,Forward,BHA,"£1,040,000",2016_2017
George Boyd,Midfielder,BFC,"£1,040,000",2016_2017
Ola Aina,Defender,CFC,"£1,040,000",2016_2017
Lewis Baker,Midfielder,CFC,"£1,040,000",2016_2017
Zeki Fryers,Defender,CP,"£1,040,000",2016_2017
Wayne Hennessey,Goalkeeper,CP,"£1,040,000",2016_2017
Joel Robles,Goalkeeper,EFC,"£1,040,000",2016_2017
Sean Scannell,Forward,HUD,"£1,040,000",2016_2017
Oleksandr Zinchenko,Midfielder,MCFC,"£1,040,000",2016_2017
James Wilson,Forward,MUFC,"£1,040,000",2016_2017
Sammy Ameobi,Midfielder,NUFC,"£1,040,000",2016_2017
Massadio Haidara,Defender,NUFC,"£1,040,000",2016_2017
Brice Dja Djédjé,Defender,WAT,"£1,040,000",2016_2017
Abdoulaye Doucouré,Midfielder,WAT,"£1,040,000",2016_2017
Sebastian Prodl,Defender,WAT,"£1,040,000",2016_2017
Jerome Sinclair,Forward,WAT,"£1,040,000",2016_2017
Paulo Gazzaniga,Goalkeeper,SFC,"£936,000",2016_2017
Jake Hesketh,Midfielder,SFC,"£936,000",2016_2017
Sam McQueen,Midfielder,SFC,"£936,000",2016_2017
Josh Sims,Forward,SFC,"£936,000",2016_2017
Scott Hogan,Forward,AVFC,"£910,000",2016_2017
Sam Vokes,Forward,BFC,"£884,000",2016_2017
Michael Hector,Defender,CFC,"£884,000",2016_2017
Bruno Martins Indi,Defender,SCFC,"£884,000",2016_2017
Collin Quaner,Forward,HUD,"£832,000",2016_2017
Kevin Stewart,Midfielder,LFC,"£832,000",2016_2017
Cameron Carter-Vickers,Defender,THFC,"£832,000",2016_2017
Tommie Hoban,Defender,WAT,"£832,000",2016_2017
David Stockdale,Goalkeeper,BHA,"£780,000",2016_2017
Matt Miazga,Defender,CFC,"£780,000",2016_2017
Jo Gorenc-Stankovic,Defender,HUD,"£780,000",2016_2017
Joe Gomez,Defender,LFC,"£780,000",2016_2017
Timothy Fosu-Mensah,Defender,MUFC,"£780,000",2016_2017
Jamaal Lascelles,Defender,NUFC,"£780,000",2016_2017
Modou Barrow,Forward,SCAFC,"£780,000",2016_2017
Kyle Bartley,Defender,SCAFC,"£780,000",2016_2017
Mike van der Hoorn,Defender,SCAFC,"£780,000",2016_2017
Juan Carlos Paredes,Defender,WAT,"£780,000",2016_2017
Hal Robson-Kanu,Forward,WBAFC,"£780,000",2016_2017
Doneil Henry,Defender,WHUFC,"£780,000",2016_2017
Kevin Long,Defender,BFC,"£728,000",2016_2017
Anthony Pilkington,Midfielder,CCFC,"£728,000",2016_2017
Rolando Aarons,Forward,NUFC,"£728,000",2016_2017
Marko Grujic,Midfielder,LFC,"£702,000",2016_2017
Neeskens Kebano,Midfielder,FFC,"£700,000",2016_2017
Eunan O'Kane,Midfielder,LUFC,"£676,000",2016_2017
Craig Cathcart,Defender,WAT,"£676,000",2016_2017
Obbi Oulare,Forward,WAT,"£676,000",2016_2017
Jazz Richards,Defender,CCFC,"£675,000",2016_2017
Fredrik Ulvestad,Midfielder,BFC,"£624,000",2016_2017
Jack Payne,Midfielder,HUD,"£624,000",2016_2017
Ben Hamer,Goalkeeper,LC,"£624,000",2016_2017
Tren Alexander-Arnold,Defender,LFC,"£624,000",2016_2017
Sam Johnstone,Goalkeeper,MUFC,"£624,000",2016_2017
Curtis Good,Defender,NUFC,"£624,000",2016_2017
Sam Gallagher,Forward,SFC,"£624,000",2016_2017
Harrison Reed,Midfielder,SFC,"£624,000",2016_2017
Jack Stephens,Defender,SFC,"£624,000",2016_2017
Oliver Norwood,Midfielder,BHA,"£609,000",2016_2017
Nick Pope,Goalkeeper,BFC,"£572,000",2016_2017
Kenneth Zohore,Forward,CCFC,"£572,000",2016_2017
Tendayi Darikwa,Defender,BFC,"£520,000",2016_2017
Eduardo Carvalho,Goalkeeper,CFC,"£520,000",2016_2017
Charly Musonda,Midfielder,CFC,"£520,000",2016_2017
Wallace Oliveira,Defender,CFC,"£520,000",2016_2017
Stefan Johansen,Midfielder,FFC,"£520,000",2016_2017
Martin Cranie,Defender,HUD,"£520,000",2016_2017
Jonathan Hogg,Midfielder,HUD,"£520,000",2016_2017
Mark Hudson,Defender,HUD,"£520,000",2016_2017
Joe Lolley,Forward,HUD,"£520,000",2016_2017
Christopher Schindler,Defender,HUD,"£520,000",2016_2017
Jordon Ibe,Midfielder,LFC,"£520,000",2016_2017
Sheyi Ojo,Forward,LFC,"£520,000",2016_2017
Patrick Roberts,Forward,MCFC,"£520,000",2016_2017
Cameron Borthwick-Jackson,Defender,MUFC,"£520,000",2016_2017
Matt Targett,Defender,SFC,"£520,000",2016_2017
Jakob Haugaard,Goalkeeper,SCFC,"£520,000",2016_2017
Matt Grimes,Midfielder,SCAFC,"£520,000",2016_2017
Giedrius Arlauskis,Goalkeeper,WAT,"£520,000",2016_2017
Sam Field,Midfielder,WBAFC,"£520,000",2016_2017
Stuart O'Keefe,Midfielder,CCFC,"£500,500",2016_2017
Kazenga Lualua,Midfielder,BHA,"£468,000",2016_2017
Todd Kane,Defender,CFC,"£468,000",2016_2017
Achraf Lazaar,Defender,NUFC,"£468,000",2016_2017
Leon Clarke,Forward,SUFC,"£468,000",2016_2017
Denis Odoi,Defender,FFC,"£462,800",2016_2017
Richie Towell,Forward,BHA,"£416,000",2016_2017
Tyias Browning,Defender,EFC,"£416,000",2016_2017
Floyd Ayité,Forward,FFC,"£416,000",2016_2017
Michael Hefele,Defender,HUD,"£416,000",2016_2017
Chris Lowe,Defender,HUD,"£416,000",2016_2017
Rajiv van La Parra,Midfielder,HUD,"£416,000",2016_2017
Nahki Wells,Forward,HUD,"£416,000",2016_2017
Joel Coleman,Goalkeeper,HUD,"£416,000",2016_2017
Hamza Choudhury,Midfielder,LC,"£416,000",2016_2017
Brahim Diaz,Midfielder,MCFC,"£416,000",2016_2017
Domingos Quina,Midfielder,WHUFC,"£416,000",2016_2017
Jed Steer,Goalkeeper,AVFC,"£378,750",2016_2017
Dominic Solanke,Forward,CFC,"£364,000",2016_2017
Adrian Mariappa,Defender,WAT,"£364,000",2016_2017
Cristian Cuevas,Defender,CFC,"£312,000",2016_2017
Tom Davies,Midfielder,EFC,"£312,000",2016_2017
Jose Angel Tasende,Defender,MCFC,"£312,000",2016_2017
Mark Birighitti,Goalkeeper,SCAFC,"£312,000",2016_2017
Jay Fulton,Midfielder,SCAFC,"£312,000",2016_2017
Darren Randolph,Goalkeeper,WHUFC,"£312,000",2016_2017
Josh Cullen,Midfielder,WHUFC,"£277,333",2016_2017
Nathaniel Chalobah,Midfielder,CFC,"£260,000",2016_2017
Charlie Colkett,Midfielder,CFC,"£260,000",2016_2017
Kieran Dowell,Midfielder,EFC,"£260,000",2016_2017
Jason Davidson,Defender,HUD,"£260,000",2016_2017
Jordi Hiwula,Forward,HUD,"£260,000",2016_2017
Tommy Smith,Defender,HUD,"£260,000",2016_2017
Dean Whitehead,Midfielder,HUD,"£260,000",2016_2017
Tosin Adarabioyo,Defender,MCFC,"£260,000",2016_2017
